,TN,TX,TAVG,RH_AVG,SS,FF_X,FF_AVG,RR,DDD_X_sin,DDD_X_cos,month_sin,month_cos
2025-01-31,24.947382,32.56504,27.4104,86.53157,5.619449,1.835949,1.3255213,374.07877,-0.51153505,0.6618828,0.56461716,0.9327493
2025-02-28,24.860443,32.67609,27.447817,85.76748,5.432208,1.6788089,1.242311,348.53638,-0.5414148,0.6044855,0.84451234,0.5355817
2025-03-31,24.974894,33.22468,27.705135,85.22286,5.724741,1.390433,1.0295223,346.47296,-0.4284935,0.41891226,1.0431972,0.05412984
2025-04-30,25.2655,33.795998,28.102953,85.21755,6.1797967,1.1802076,0.8526093,318.44336,-0.10754071,0.11219679,1.006602,-0.45392537
2025-05-31,25.466747,33.987392,28.427044,85.11304,6.5015836,1.1594783,0.8092978,248.06442,0.3294415,-0.28912646,0.63342655,-0.9177005
2025-06-30,25.327429,33.886208,28.417728,84.334854,6.6010623,1.293864,0.8927719,188.861,0.5803648,-0.5221707,0.18726766,-1.0892425
2025-07-31,24.94511,33.893597,28.250292,82.67772,6.508963,1.4963329,1.0415797,143.97383,0.7128178,-0.5786429,-0.2906736,-0.9512134
2025-08-31,24.650436,34.14579,28.128235,80.760155,6.5732408,1.6890795,1.2074069,123.42904,0.7866208,-0.5028514,-0.70186937,-0.5561325
2025-09-30,24.571968,34.535248,28.161915,79.550095,6.529686,1.7538127,1.2770401,134.97502,0.80398095,-0.34327343,-0.94171333,-0.074234724
2025-10-31,24.644417,34.643234,28.167877,80.382744,6.11252,1.5932771,1.1633224,204.39629,0.6353383,-0.11153811,-0.8526564,0.43750966
2025-11-30,24.673725,34.076035,27.945236,83.33221,5.3758593,1.3759458,0.9909218,321.29428,0.24408287,0.23111422,-0.43878263,0.8916167
2025-12-31,24.596186,33.090416,27.510065,85.709946,4.726352,1.5115128,1.086782,369.24985,-0.15922101,0.5792343,0.0763334,1.0473199
2026-01-31,24.5045,32.50389,27.230604,86.85037,4.3447323,1.734402,1.2699068,337.20676,-0.32198802,0.76537627,0.5672308,0.90809715
2026-02-28,24.516344,32.666607,27.293413,86.53237,4.381624,1.6719515,1.2329977,316.9668,-0.2998968,0.76539123,0.9053241,0.5312282
2026-03-31,24.717876,33.17108,27.60806,85.95098,4.69413,1.3752954,1.0014837,316.8523,-0.16604178,0.5495566,1.0708358,-0.0063306093
